#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
   157     2.372557768e+30     2.890130043e+08     1.000000000e+09     5.393299379e+04     1.734078026e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   158     2.386709061e+30     2.892630877e+08     1.000000000e+09     5.379323085e+04     1.735578526e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   159     2.400848125e+30     2.895131711e+08     1.000000000e+09     5.365395040e+04     1.737079026e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   160     2.414974981e+30     2.897632544e+08     1.000000000e+09     5.351515037e+04     1.738579527e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   161     2.429089649e+30     2.900133378e+08     1.000000000e+09     5.337682868e+04     1.740080027e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   162     2.443192152e+30     2.902634211e+08     1.000000000e+09     5.323898328e+04     1.741580527e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   163     2.457282510e+30     2.905135045e+08     1.000000000e+09     5.310161212e+04     1.743081027e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   164     2.471360743e+30     2.907635879e+08     1.000000000e+09     5.296471315e+04     1.744581527e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   165     2.485426873e+30     2.910136712e+08     1.000000000e+09     5.282828437e+04     1.746082027e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   166     2.499480920e+30     2.912637546e+08     1.000000000e+09     5.269232374e+04     1.747582528e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   167     2.513522906e+30     2.915138379e+08     1.000000000e+09     5.255682926e+04     1.749083028e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   168     2.527552850e+30     2.917639213e+08     1.000000000e+09     5.242179893e+04     1.750583528e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   169     2.541570774e+30     2.920140047e+08     1.000000000e+09     5.228723077e+04     1.752084028e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   170     2.555576698e+30     2.922640880e+08     1.000000000e+09     5.215312281e+04     1.753584528e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   171     2.569570642e+30     2.925141714e+08     1.000000000e+09     5.201947307e+04     1.755085028e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   172     2.583552628e+30     2.927642548e+08     1.000000000e+09     5.188627961e+04     1.756585529e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   173     2.597522675e+30     2.930143381e+08     1.000000000e+09     5.175354047e+04     1.758086029e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   174     2.611480804e+30     2.932644215e+08     1.000000000e+09     5.162125372e+04     1.759586529e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   175     2.625427035e+30     2.935145048e+08     1.000000000e+09     5.148941744e+04     1.761087029e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   176     2.639361389e+30     2.937645882e+08     1.000000000e+09     5.135802971e+04     1.762587529e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   177     2.653283885e+30     2.940146716e+08     1.000000000e+09     5.122708862e+04     1.764088029e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
   178     2.667194544e+30     2.942647549e+08     1.000000000e+09     5.109659227e+04     1.765588530e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
